symbol,buy_date,earnings_date,sell_date,buy_price,sell_price,earnings_day_return,total_return,earnings_move,earnings_abs_move,earnings_volume_ratio,result,profitable
SHOP,2023-05-03,2023-05-04,2023-05-05,46.27000045776367,62.02999877929688,23.838337303163232,34.060942653154505,23.838337303163225,23.838337303163225,5.476520391774316,BIG_WIN,True
SHOP,2023-11-01,2023-11-02,2023-11-03,48.790000915527344,61.470001220703125,22.361138845439164,25.988932296044272,22.361138845439154,22.361138845439154,3.318016429937628,BIG_WIN,True
SHOP,2024-02-12,2024-02-13,2024-02-14,89.12000274658203,80.66999816894531,-13.397668394780403,-9.481602689875137,-13.397668394780403,13.397668394780403,3.332652944383182,BIG_LOSS,False
SHOP,2024-05-07,2024-05-08,2024-05-09,77.05000305175781,62.45000076293945,-18.585338017316,-18.948736807980275,-18.585338017316,18.585338017316,5.312464269852296,BIG_LOSS,False
SHOP,2024-08-06,2024-08-07,2024-08-08,54.220001220703125,68.55000305175781,17.834743547097087,26.4293646411483,17.834743547097087,17.834743547097087,4.154569131562824,BIG_WIN,True
SHOP,2024-11-11,2024-11-12,2024-11-13,89.98999786376953,115.08999633789062,21.03567146854786,27.891986965171927,21.035671468547857,21.035671468547857,7.547500737680732,BIG_WIN,True
ROKU,2023-02-15,2023-02-16,2023-02-17,63.4900016784668,71.55999755859375,11.151359000134766,12.710656271511747,11.151359000134775,11.151359000134775,4.57928719919647,BIG_WIN,True
ROKU,2023-06-06,2023-06-07,2023-06-08,62.97999954223633,69.0999984741211,8.018417392451491,9.717368968509607,8.018417392451482,8.018417392451482,3.7605350740389407,WIN,True
ROKU,2023-07-27,2023-07-28,2023-07-31,68.19000244140625,96.2699966430664,31.412226722459664,41.17904853543378,31.412226722459668,31.412226722459668,5.99772914835236,BIG_WIN,True
ROKU,2023-11-01,2023-11-02,2023-11-03,59.70000076293945,84.75,30.737021866521765,41.95979718079179,30.737021866521765,30.737021866521765,5.338553454624387,BIG_WIN,True
ROKU,2023-11-02,2023-11-03,2023-11-06,78.05000305175781,83.30000305175781,8.584236625588822,6.726457136098422,8.584236625588826,8.584236625588826,3.221925669907096,WIN,True
ROKU,2024-02-15,2024-02-16,2024-02-20,94.5,67.25,-23.809523809523807,-28.835978835978835,-23.809523809523814,23.809523809523814,5.464220537537828,BIG_LOSS,False
ROKU,2024-04-25,2024-04-26,2024-04-29,62.810001373291016,58.65999984741211,-10.284990858027502,-6.607230433278784,-10.284990858027498,10.284990858027498,3.9939440854895474,BIG_LOSS,False
ROKU,2024-10-30,2024-10-31,2024-11-01,77.51000213623047,65.69999694824219,-17.32679645856725,-15.236749919360323,-17.32679645856725,17.32679645856725,5.955822323721904,BIG_LOSS,False
PLUG,2023-11-09,2023-11-10,2023-11-13,5.929999828338623,3.470000028610229,-40.472174138683705,-41.48397758752717,-40.47217413868371,40.47217413868371,6.63033105067955,BIG_LOSS,False
PLUG,2024-01-22,2024-01-23,2024-01-24,2.8399999141693115,3.4800000190734863,30.985920459026296,22.53521564247555,30.985920459026307,30.985920459026307,3.4956194229733306,BIG_WIN,True
PLUG,2024-05-13,2024-05-14,2024-05-15,2.890000104904175,3.4100000858306885,19.031139527744788,17.99307827166171,19.031139527744777,19.031139527744777,4.827658796087482,BIG_WIN,True
RIVN,2023-02-28,2023-03-01,2023-03-02,19.299999237060547,15.720000267028809,-18.34196449801448,-18.549218194564983,-18.341964498014484,18.341964498014484,3.367955733860854,BIG_LOSS,False
RIVN,2023-03-06,2023-03-07,2023-03-08,17.1299991607666,15.130000114440918,-14.53589573516602,-11.67541823881899,-14.535895735166015,14.535895735166015,3.9529019724590553,BIG_LOSS,False
RIVN,2023-07-06,2023-07-07,2023-07-10,21.6200008392334,25.51000022888184,14.246067549252073,17.99259592344388,14.24606754925206,14.24606754925206,4.131765778414233,BIG_WIN,True
RIVN,2023-10-04,2023-10-05,2023-10-06,23.690000534057617,18.920000076293945,-22.878851642497658,-20.135079570412604,-22.878851642497654,22.878851642497654,5.096678354789448,BIG_LOSS,False
RIVN,2024-02-21,2024-02-22,2024-02-23,15.390000343322754,10.06999969482422,-25.601042535174873,-34.56790467718682,-25.601042535174876,25.601042535174876,4.700044731316222,BIG_LOSS,False
RIVN,2024-06-25,2024-06-26,2024-06-27,11.960000038146973,14.470000267028809,23.244144850370017,20.986623920368512,23.244144850370006,23.244144850370006,6.277848655145872,BIG_WIN,True
RIVN,2024-11-12,2024-11-13,2024-11-14,10.579999923706056,10.3100004196167,13.705102265796768,-2.5519802082832097,13.705102265796775,13.705102265796775,3.3773483504481443,SMALL_LOSS,False
LCID,2023-05-31,2023-06-01,2023-06-02,77.5999984741211,66.0,-16.237111754999685,-14.948451935845835,-16.237111754999688,16.237111754999688,6.896532823585432,BIG_LOSS,False
LCID,2024-05-13,2024-05-14,2024-05-15,28.100000381469727,29.0,11.032029677529797,3.2028455740654347,11.032029677529787,11.032029677529787,3.0536509930402973,SMALL_WIN,True
LCID,2024-07-11,2024-07-12,2024-07-15,34.0,36.09999847412109,25.0,6.176466100356137,25.0,25.0,5.03562669490152,WIN,True
LCID,2024-10-16,2024-10-17,2024-10-18,32.79999923706055,26.299999237060547,-17.987804133433915,-19.81707363168376,-17.987804133433915,17.987804133433915,5.781525512258143,BIG_LOSS,False
SOFI,2023-03-09,2023-03-10,2023-03-13,6.090000152587891,5.489999771118164,-8.3743877849513,-9.85222276578699,-8.374387784951299,8.374387784951299,3.1153703018521104,BIG_LOSS,False
SOFI,2023-04-28,2023-05-01,2023-05-02,6.230000019073486,4.90500020980835,-12.199040554655756,-21.268054658243614,-12.19904055465576,12.19904055465576,4.039767766908862,BIG_LOSS,False
SOFI,2023-05-01,2023-05-02,2023-05-03,5.46999979019165,4.849999904632568,-10.329060366627639,-11.334550444971029,-10.32906036662764,10.32906036662764,3.2797301011808213,BIG_LOSS,False
SOFI,2023-05-30,2023-05-31,2023-06-01,6.03000020980835,6.820000171661377,15.091207558034759,13.10115977389221,15.091207558034746,15.091207558034746,3.1455580959853218,BIG_WIN,True
