symbol,earnings_date,sell_date,hold_days,gap_pct,volume_ratio,buy_price,sell_price,earnings_day_return,total_return,profitable
HOOD,2024-02-14,2024-02-16,2,15.270266787164704,5.806600549862002,13.64799976348877,14.0,-1.9636551413548982,2.5791342512541955,True
HOOD,2024-02-14,2024-02-20,3,15.270266787164704,5.806600549862002,13.64799976348877,14.09000015258789,-1.9636551413548982,3.238572660893238,True
HOOD,2024-02-14,2024-02-22,5,15.270266787164704,5.806600549862002,13.64799976348877,13.970000267028809,-1.9636551413548982,2.3593237772575084,True
HOOD,2024-02-14,2024-02-26,7,15.270266787164704,5.806600549862002,13.64799976348877,15.59000015258789,-1.9636551413548982,14.229194187813329,True
SNOW,2023-11-07,2023-11-08,1,8.023583612398815,3.1487276088376976,155.77000427246094,158.5800018310547,2.439496018187904,1.8039400921365567,True
SNOW,2023-11-07,2023-11-09,2,8.023583612398815,3.1487276088376976,155.77000427246094,156.35000610351562,2.439496018187904,0.3723450055507431,True
SNOW,2023-11-07,2023-11-10,3,8.023583612398815,3.1487276088376976,155.77000427246094,160.39999389648438,2.439496018187904,2.972324258221766,True
SNOW,2023-11-07,2023-11-14,5,8.023583612398815,3.1487276088376976,155.77000427246094,165.86000061035156,2.439496018187904,6.477496347911744,True
SNOW,2023-11-07,2023-11-16,7,8.023583612398815,3.1487276088376976,155.77000427246094,160.97000122070312,2.439496018187904,3.33825306902268,True
SNOW,2024-11-21,2024-11-22,1,24.89157419846448,6.851301734402927,161.25999450683594,167.44000244140625,6.256983715977967,3.832325527152574,True
SNOW,2024-11-21,2024-11-25,2,24.89157419846448,6.851301734402927,161.25999450683594,171.4199981689453,6.256983715977967,6.300386957832052,True
SNOW,2024-11-21,2024-11-26,3,24.89157419846448,6.851301734402927,161.25999450683594,171.27999877929688,6.256983715977967,6.21357101189544,True
SNOW,2024-11-21,2024-11-29,5,24.89157419846448,6.851301734402927,161.25999450683594,174.8000030517578,6.256983715977967,8.396384104023955,True
SNOW,2024-11-21,2024-12-03,7,24.89157419846448,6.851301734402927,161.25999450683594,175.94000244140625,6.256983715977967,9.103316653001633,True
CRWD,2024-03-06,2024-03-07,1,21.0008034504268,4.340553497822276,360.04998779296875,329.67999267578125,-8.465485766458684,-8.43493852155064,False
CRWD,2024-03-06,2024-03-08,2,21.0008034504268,4.340553497822276,360.04998779296875,322.8500061035156,-8.465485766458684,-10.331893612184588,False
CRWD,2024-03-06,2024-03-11,3,21.0008034504268,4.340553497822276,360.04998779296875,317.3699951171875,-8.465485766458684,-11.853907546949436,False
CRWD,2024-03-06,2024-03-13,5,21.0008034504268,4.340553497822276,360.04998779296875,332.1700134277344,-8.465485766458684,-7.74336211928038,False
CRWD,2024-03-06,2024-03-15,7,21.0008034504268,4.340553497822276,360.04998779296875,315.6499938964844,-8.465485766458684,-12.331619331150952,False
CRWD,2024-06-05,2024-06-06,1,9.499967293319997,4.221138861980373,334.6099853515625,340.489990234375,2.2623375438916504,1.7572711933968717,True
CRWD,2024-06-05,2024-06-07,2,9.499967293319997,4.221138861980373,334.6099853515625,349.1199951171875,2.2623375438916504,4.336394728441789,True
CRWD,2024-06-05,2024-06-10,3,9.499967293319997,4.221138861980373,334.6099853515625,374.5700073242188,2.2623375438916504,11.942268229285439,True
CRWD,2024-06-05,2024-06-12,5,9.499967293319997,4.221138861980373,334.6099853515625,387.3699951171875,2.2623375438916504,15.767613662273702,True
CRWD,2024-06-05,2024-06-14,7,9.499967293319997,4.221138861980373,334.6099853515625,385.43499755859375,2.2623375438916504,15.189329198777873,True
NET,2023-02-10,2023-02-13,1,9.41207230730368,3.0573933632604207,63.64500045776367,64.08000183105469,-5.569961439461584,0.6834808235718262,True
NET,2023-02-10,2023-02-14,2,9.41207230730368,3.0573933632604207,63.64500045776367,68.37999725341797,-5.569961439461584,7.439699523290212,True
NET,2023-02-10,2023-02-15,3,9.41207230730368,3.0573933632604207,63.64500045776367,72.4000015258789,-5.569961439461584,13.755991837764633,True
NET,2023-02-10,2023-02-17,5,9.41207230730368,3.0573933632604207,63.64500045776367,64.44999694824219,-5.569961439461584,1.264822821413491,True
NET,2023-02-10,2023-02-22,7,9.41207230730368,3.0573933632604207,63.64500045776367,61.470001220703125,-5.569961439461584,-3.417392130437532,False
NET,2023-08-04,2023-08-07,1,10.43973065797779,3.1801345968014427,71.83000183105469,67.79000091552734,-3.215933633722369,-5.6243920542136285,False
NET,2023-08-04,2023-08-08,2,10.43973065797779,3.1801345968014427,71.83000183105469,66.58999633789062,-3.215933633722369,-7.295009549754209,False
NET,2023-08-04,2023-08-09,3,10.43973065797779,3.1801345968014427,71.83000183105469,63.59000015258789,-3.215933633722369,-11.47153204568672,False
NET,2023-08-04,2023-08-11,5,10.43973065797779,3.1801345968014427,71.83000183105469,63.61000061035156,-3.215933633722369,-11.443687889688071,False
NET,2023-08-04,2023-08-15,7,10.43973065797779,3.1801345968014427,71.83000183105469,62.11000061035156,-3.215933633722369,-13.531951793019195,False
NET,2024-02-09,2024-02-12,1,21.913410973892937,6.317369201400058,110.0999984741211,105.62000274658205,-1.980018469925932,-4.069024332086678,False
NET,2024-02-09,2024-02-13,2,21.913410973892937,6.317369201400058,110.0999984741211,99.87999725341795,-1.980018469925932,-9.28247171874879,False
NET,2024-02-09,2024-02-14,3,21.913410973892937,6.317369201400058,110.0999984741211,104.37000274658205,-1.980018469925932,-5.204355864624175,False
NET,2024-02-09,2024-02-16,5,21.913410973892937,6.317369201400058,110.0999984741211,98.5199966430664,-1.980018469925932,-10.517712980510673,False
NET,2024-02-09,2024-02-21,7,21.913410973892937,6.317369201400058,110.0999984741211,95.08999633789062,-1.980018469925932,-13.633062982974115,False
DDOG,2023-11-07,2023-11-08,1,24.43745325737249,5.3268001042147555,98.98999786376952,99.98999786376952,3.2427509382213544,1.010203072613664,True
DDOG,2023-11-07,2023-11-09,2,24.43745325737249,5.3268001042147555,98.98999786376952,100.2300033569336,3.2427509382213544,1.252657359252172,True
DDOG,2023-11-07,2023-11-10,3,24.43745325737249,5.3268001042147555,98.98999786376952,103.6500015258789,3.2427509382213544,4.707550017853832,True
DDOG,2023-11-07,2023-11-14,5,24.43745325737249,5.3268001042147555,98.98999786376952,109.0199966430664,3.2427509382213544,10.132335585157017,True
DDOG,2023-11-07,2023-11-16,7,24.43745325737249,5.3268001042147555,98.98999786376952,109.12000274658205,3.2427509382213544,10.233362058208636,True
ZS,2023-05-08,2023-05-09,1,20.154257728386543,4.361495171796362,107.48999786376952,110.04499816894533,0.4000375046251119,2.37696563024772,True
ZS,2023-05-08,2023-05-10,2,20.154257728386543,4.361495171796362,107.48999786376952,116.79000091552734,0.4000375046251119,8.651970635951121,True
ZS,2023-05-08,2023-05-11,3,20.154257728386543,4.361495171796362,107.48999786376952,115.41999816894533,0.4000375046251119,7.377430889175493,True
ZS,2023-05-08,2023-05-15,5,20.154257728386543,4.361495171796362,107.48999786376952,120.80999755859376,0.4000375046251119,12.391850367050639,True
ZS,2023-05-08,2023-05-17,7,20.154257728386543,4.361495171796362,107.48999786376952,118.7699966430664,0.4000375046251119,10.493998514720332,True
ZS,2024-05-31,2024-06-03,1,16.820942949367705,4.2029600066517006,183.0,169.02000427246094,-7.125679391329406,-7.639341927616974,False
ZS,2024-05-31,2024-06-04,2,16.820942949367705,4.2029600066517006,183.0,169.13999938964844,-7.125679391329406,-7.573770825328722,False
ZS,2024-05-31,2024-06-05,3,16.820942949367705,4.2029600066517006,183.0,174.57000732421875,-7.125679391329406,-4.606553374743853,False
ZS,2024-05-31,2024-06-07,5,16.820942949367705,4.2029600066517006,183.0,180.9900054931641,-7.125679391329406,-1.0983576540086935,False
ZS,2024-05-31,2024-06-11,7,16.820942949367705,4.2029600066517006,183.0,187.6499938964844,-7.125679391329406,2.540980271302953,True
SHOP,2023-05-04,2023-05-05,1,18.58655368281522,5.476520391774316,54.869998931884766,62.02999877929688,4.428650177654216,13.049024944032695,True
SHOP,2023-05-04,2023-05-08,2,18.58655368281522,5.476520391774316,54.869998931884766,64.37999725341797,4.428650177654216,17.331872620115867,True
SHOP,2023-05-04,2023-05-09,3,18.58655368281522,5.476520391774316,54.869998931884766,63.88999938964844,4.428650177654216,16.438856630854026,True
SHOP,2023-05-04,2023-05-11,5,18.58655368281522,5.476520391774316,54.869998931884766,62.900001525878906,4.428650177654216,14.634595863511004,True
SHOP,2023-05-04,2023-05-15,7,18.58655368281522,5.476520391774316,54.869998931884766,61.58000183105469,4.428650177654216,12.22891020555636,True
SHOP,2023-11-02,2023-11-03,1,18.138959434420908,3.318016429937628,57.63999938964844,61.470001220703125,3.5739094293969944,6.644694433745115,True
SHOP,2023-11-02,2023-11-06,2,18.138959434420908,3.318016429937628,57.63999938964844,60.43000030517578,3.5739094293969944,4.840390258623771,True
SHOP,2023-11-02,2023-11-07,3,18.138959434420908,3.318016429937628,57.63999938964844,61.68999862670898,3.5739094293969944,7.02636932676283,True
SHOP,2023-11-02,2023-11-09,5,18.138959434420908,3.318016429937628,57.63999938964844,60.369998931884766,3.5739094293969944,4.7362934960866925,True
SHOP,2023-11-02,2023-11-13,7,18.138959434420908,3.318016429937628,57.63999938964844,62.34000015258789,3.5739094293969944,8.154061090749293,True
SHOP,2024-08-07,2024-08-08,1,18.959790755909474,4.154569131562824,64.5,68.55000305175781,-0.9457373803900194,6.2790744988493215,True
SHOP,2024-08-07,2024-08-09,2,18.959790755909474,4.154569131562824,64.5,69.30000305175781,-0.9457373803900194,7.44186519652374,True
SHOP,2024-08-07,2024-08-12,3,18.959790755909474,4.154569131562824,64.5,68.30999755859375,-0.9457373803900194,5.906972959060078,True
SHOP,2024-08-07,2024-08-14,5,18.959790755909474,4.154569131562824,64.5,71.58999633789062,-0.9457373803900194,10.99224238432655,True
SHOP,2024-08-07,2024-08-16,7,18.959790755909474,4.154569131562824,64.5,74.55000305175781,-0.9457373803900194,15.58140008024467,True
SHOP,2024-11-12,2024-11-13,1,19.47994132173943,7.547500737680732,107.5199966430664,115.08999633789062,1.3020847931445705,7.040550531222865,True
SHOP,2024-11-12,2024-11-14,2,19.47994132173943,7.547500737680732,107.5199966430664,109.08000183105467,1.3020847931445705,1.4508977275799295,True
SHOP,2024-11-12,2024-11-15,3,19.47994132173943,7.547500737680732,107.5199966430664,108.48999786376952,1.3020847931445705,0.9021589015885286,True
SHOP,2024-11-12,2024-11-19,5,19.47994132173943,7.547500737680732,107.5199966430664,104.58999633789062,1.3020847931445705,-2.725074773674416,False
SHOP,2024-11-12,2024-11-21,7,19.47994132173943,7.547500737680732,107.5199966430664,106.4800033569336,1.3020847931445705,-0.9672556906649402,False
ROKU,2023-02-16,2023-02-17,1,8.867539642898922,4.57928719919647,69.12000274658203,71.55999755859375,2.097796427408113,3.5300849465495365,True
ROKU,2023-02-16,2023-02-21,2,8.867539642898922,4.57928719919647,69.12000274658203,65.62999725341797,2.097796427408113,-5.0491975614637,False
ROKU,2023-02-16,2023-02-22,3,8.867539642898922,4.57928719919647,69.12000274658203,68.83999633789062,2.097796427408113,-0.40510184832892315,False
ROKU,2023-02-16,2023-02-24,5,8.867539642898922,4.57928719919647,69.12000274658203,62.650001525878906,2.097796427408113,-9.36053380151676,False
ROKU,2023-02-16,2023-02-28,7,8.867539642898922,4.57928719919647,69.12000274658203,64.69000244140625,2.097796427408113,-6.409143705357917,False
ROKU,2023-07-28,2023-07-31,1,9.955995882655687,5.99772914835236,74.97899627685547,96.2699966430664,19.51347051842623,28.395952764685177,True
ROKU,2023-07-28,2023-08-01,2,9.955995882655687,5.99772914835236,74.97899627685547,97.48999786376952,19.51347051842623,30.023076734441094,True
ROKU,2023-07-28,2023-08-02,3,9.955995882655687,5.99772914835236,74.97899627685547,91.25,19.51347051842623,21.70074891782336,True
ROKU,2023-07-28,2023-08-04,5,9.955995882655687,5.99772914835236,74.97899627685547,86.3499984741211,19.51347051842623,15.165583379215796,True
