symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
UBER,2025-02-28,2025-03-04,77.05999755859375,75.51879760742187,-2.3,1,Stop Loss,135,True
NKE,2025-03-05,2025-03-07,75.35814968212574,77.13358858333802,2.0560011872656165,1,Trailing Stop,105,True
ADI,2025-03-07,2025-03-11,217.58978834579906,213.23799257888308,-2.3,1,Stop Loss,120,True
KLAC,2025-03-19,2025-03-24,704.4003593326197,725.3250425705991,2.670566803487202,2,Trailing Stop,90,True
QCOM,2025-03-19,2025-03-21,155.37394003580766,152.2664612350915,-2.3,1,Stop Loss,85,True
INTC,2025-03-20,2025-03-24,23.600000381469727,24.711999893188473,4.411862261628892,1,Trailing Stop,110,True
MU,2025-03-24,2025-03-26,95.86581941462131,93.94850302632888,-2.3,1,Stop Loss,180,True
INTC,2025-03-27,2025-03-31,23.350000381469727,22.883000373840332,-2.3,1,Stop Loss,150,True
ENPH,2025-03-27,2025-03-31,60.7400016784668,59.52520164489746,-2.3,1,Stop Loss,150,True
TSLA,2025-03-27,2025-03-31,275.5799865722656,268.938508895874,-2.71,1,Stop Loss,115,True
LCID,2025-03-31,2025-04-02,24.399999618530273,23.814399627685546,-2.7,1,Stop Loss,120,True
RIVN,2025-03-31,2025-04-02,12.46500015258789,12.215700149536133,-2.3,1,Stop Loss,110,True
AAPL,2025-03-31,2025-04-03,218.85612876373423,214.47900618845955,-2.3,2,Stop Loss,90,True
TSLA,2025-04-01,2025-04-03,254.60000610351562,271.9599914550781,6.518532967553918,1,Trailing Stop,145,True
CRWD,2025-04-01,2025-04-03,353.1600036621094,346.0968035888672,-2.3,1,Stop Loss,130,True
BA,2025-04-02,2025-04-04,160.0,156.8,-2.3,1,Stop Loss,110,True
FSLR,2025-04-09,2025-04-11,125.0,122.0,-2.7,1,Stop Loss,145,True
FSLR,2025-04-17,2025-04-22,126.45999908447266,138.46000518798826,9.189171430010722,1,Trailing Stop,105,True
MCD,2025-04-17,2025-04-22,305.66606561378126,312.74258695860885,2.015115134098335,1,Trailing Stop,85,True
CRWD,2025-04-22,2025-04-24,382.5,408.37919921875,6.4658037173202585,1,Trailing Stop,115,True
UBER,2025-04-22,2025-04-24,76.92500305175781,75.35573298950196,-2.34,1,Stop Loss,115,True
JPM,2025-04-22,2025-04-28,236.84324673802962,242.06480590736015,1.9046476905064795,3,Trailing Stop,115,True
INTC,2025-04-28,2025-04-30,20.309999465942383,19.903799476623536,-2.3,1,Stop Loss,125,True
LULU,2025-04-28,2025-04-30,267.9599914550781,262.60079162597657,-2.3,1,Stop Loss,90,True
MU,2025-04-30,2025-05-02,79.24367803770987,81.05610164080815,1.9871522977969287,1,Trailing Stop,120,True
