entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-08-11,95.0999984741211,93.19799850463868,102.7079983520508,2.0,8.0,0.45,BEAR,Consumer_Retail,135,2023-08-14,-2.299999999999996,SL,1,BOOT
2023-08-14,74.83999633789062,73.34319641113281,77.83359619140626,2.0,4.0,0.45,BEAR,Energy_Services,130,2023-08-15,-2.300000000000005,SL,1,VAL
2023-08-15,150.4567728911429,147.44763743332004,159.03280894593803,2.0,5.7,0.45,BEAR,Semiconductors,135,2023-08-16,-2.2999999999999954,SL,1,OLED
2023-08-16,31.780000686645508,31.144400672912596,33.05120071411133,2.0,4.0,0.45,BEAR,Healthcare_Pharma,135,2023-08-17,-2.300000000000005,SL,1,SUPN
2023-08-17,23.3700008392334,22.841838820266723,24.304800872802737,2.26,4.0,0.45,BEAR,Energy_Services,110,2023-08-18,-2.5600000000000023,SL,1,XPRO
2023-08-18,59.619998931884766,58.42759895324707,62.004798889160156,2.0,4.0,0.45,BEAR,Healthcare_Pharma,145,2023-08-22,3.7,TP,2,ANIP
2023-08-21,9.520000457763672,9.329600448608398,10.281600494384767,2.0,8.0,0.45,BEAR,Healthcare_Pharma,145,2023-08-22,-2.3000000000000087,SL,1,EOLS
2023-08-09,118.3282148006575,115.96165050464435,123.46365932300606,2.0,4.34,0.45,BEAR,Energy_Oil,110,2023-08-23,-2.3000000000000016,SL,10,EOG
2023-08-23,12.720000267028809,12.395640260219574,13.737600288391114,2.55,8.0,0.45,BEAR,Finance_Payments,105,2023-08-24,-2.8499999999999988,SL,1,PSFE
2023-08-23,199.4499969482422,195.46099700927735,210.8385917739868,2.0,5.71,0.45,BEAR,Industrial_Aerospace,100,2023-08-25,-2.299999999999997,SL,2,AXON
2023-08-29,24.092267924299726,23.61042256581373,25.055958641271715,2.0,4.0,0.45,BEAR,Consumer_Food,100,2023-08-30,3.7,TP,1,BLMN
2023-09-06,39.36000061035156,38.57280059814453,40.93440063476562,2.0,4.0,0.33,BULL,Consumer_Staples,100,2023-09-07,-2.299999999999998,SL,1,SFM
2023-09-05,35.47999954223633,34.7703995513916,36.89919952392578,2.0,4.0,0.33,BULL,Energy_Refining,110,2023-09-08,3.6999999999999975,TP,3,PARR
2023-09-08,9.680000305175781,9.486400299072265,10.454400329589845,2.0,8.0,0.33,BULL,Technology,130,2023-09-11,-2.3000000000000025,SL,1,SNAP
2023-09-11,22.3700008392334,21.475200805664063,23.264800872802734,4.0,4.0,0.33,BULL,Industrial_Transport,135,2023-09-12,-4.3,SL,1,BLBD
2023-09-13,47.1917867251266,46.24795099062406,49.56553359740047,2.0,5.03,0.33,BULL,Energy_Oil,130,2023-09-15,-2.300000000000007,SL,2,DVN
2023-09-12,12.979999542236328,12.720399551391601,14.018399505615236,2.0,8.0,0.33,BULL,Finance_Payments,125,2023-09-18,-2.3000000000000025,SL,4,PSFE
2023-09-18,43.349998474121094,42.48299850463867,45.35276840362549,2.0,4.62,0.45,BEAR,Healthcare_MedDevices,105,2023-09-19,-2.299999999999999,SL,1,STAA
2023-09-07,23.31999969482422,22.853599700927735,24.954731673431397,2.0,7.01,0.33,BULL,Finance_Payments,120,2023-09-21,0.043052850570192536,MaxHold,10,ACIW
2023-09-19,204.6199951171875,200.52759521484376,214.6872988769531,2.0,4.92,0.45,BEAR,Technology,125,2023-09-21,-2.2999999999999967,SL,2,TEAM
2023-09-20,12.949999809265137,12.690999813079834,13.467999801635743,2.0,4.0,0.45,BEAR,Healthcare_Pharma,110,2023-09-21,-2.299999999999998,SL,1,FOLD
2023-09-22,45.939998626708984,45.0211986541748,48.246186557769775,2.0,5.02,0.45,BEAR,Consumer_Staples,100,2023-09-25,-2.3000000000000034,SL,1,THS
