symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
CFLT,2024-05-23,2024-05-28,30.920000076293945,30.301600074768064,-2.3,1,Stop Loss,90,0.33,BULL
MRVL,2024-05-31,2024-06-04,69.81484167979283,68.41854484619698,-2.3,1,Stop Loss,110,0.45,BEAR
AMD,2024-06-06,2024-06-10,166.58999633789062,163.25819641113281,-2.3,1,Stop Loss,105,0.33,BULL
QCOM,2024-06-11,2024-06-13,205.70273333447153,210.24075441529718,1.9061063590471818,1,Trailing Stop,85,0.33,BULL
COIN,2024-06-11,2024-06-13,251.8000030517578,246.48702298736572,-2.41,1,Stop Loss,115,0.33,BULL
AAPL,2024-07-02,2024-07-05,218.31159349071294,223.43198024098675,2.0454488460282487,1,Trailing Stop,85,0.33,BULL
CRWD,2024-06-28,2024-07-08,385.2799987792969,394.7519958496094,2.1584710081818788,4,Trailing Stop,95,0.33,BULL
S,2024-07-05,2024-07-09,20.219999313354492,19.8155993270874,-2.3,1,Stop Loss,110,0.33,BULL
NVDA,2024-07-09,2024-07-11,133.9726664675838,130.79751427230204,-2.67,1,Stop Loss,130,0.33,BULL
ROKU,2024-07-10,2024-07-15,62.209999084472656,60.3063731124878,-3.3600000000000003,2,Stop Loss,95,0.33,BULL
ARM,2024-07-17,2024-07-19,165.85000610351562,162.5330059814453,-2.3,1,Stop Loss,105,0.33,BULL
PLTR,2024-07-19,2024-07-23,28.93000030517578,28.351400299072264,-2.3,1,Stop Loss,110,0.33,BULL
LCID,2024-07-26,2024-07-30,34.099998474121094,34.81999969482422,1.8114406244022054,1,Trailing Stop,165,0.45,BEAR
RIVN,2024-07-26,2024-07-31,16.299999237060547,16.899999237060545,3.3809817673844176,2,Trailing Stop,150,0.45,BEAR
RUN,2024-07-31,2024-08-02,18.850000381469727,18.473000373840332,-2.3,1,Stop Loss,155,0.45,BEAR
ENPH,2024-08-01,2024-08-05,105.06999969482422,102.56933370208739,-2.6799999999999997,1,Stop Loss,130,0.45,BEAR
NOW,2024-08-07,2024-08-09,158.39999389648438,162.2415954589844,2.1252536051298927,1,Trailing Stop,115,0.45,BEAR
PYPL,2024-08-07,2024-08-09,63.40342850217767,64.9598312365561,2.1547611558970727,1,Trailing Stop,120,0.45,BEAR
PYPL,2024-08-14,2024-08-19,67.0051025550481,68.84085773778381,2.439724457891164,2,Trailing Stop,95,0.33,BULL
LRCX,2024-08-20,2024-08-22,85.63668249839976,83.06758202344777,-3.3,1,Stop Loss,115,0.33,BULL
KLAC,2024-08-20,2024-08-22,809.4959672948758,788.8538201288565,-2.8499999999999996,1,Stop Loss,90,0.33,BULL
DDOG,2024-08-20,2024-08-28,116.51000213623047,113.49239308090209,-2.8899999999999997,5,Stop Loss,85,0.33,BULL
