symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
PATH,2023-05-26,2023-05-31,16.8799991607666,16.542399177551268,-2.0,1,Stop Loss,150
ROKU,2023-05-26,2023-05-31,57.4900016784668,56.34020164489746,-2.0,1,Stop Loss,100
LCID,2023-05-31,2023-06-02,67.80000305175781,66.44400299072265,-2.0,1,Stop Loss,115
MU,2023-06-01,2023-06-05,69.1261169073711,67.74359456922367,-2.0,1,Stop Loss,120
KLAC,2023-06-01,2023-06-07,444.25166296756487,458.647268058543,3.2404167031850015,3,Trailing Stop,105
TSM,2023-06-01,2023-06-05,97.13418696596553,95.19150322664622,-2.0,1,Stop Loss,100
CRM,2023-06-02,2023-06-07,207.94343720235133,203.7845684583043,-2.0,2,Stop Loss,95
AMD,2023-06-05,2023-06-07,117.91000366210938,123.85399780273437,5.041127941661755,1,Trailing Stop,125
CRWD,2023-06-05,2023-06-07,153.77999877929688,150.70439880371094,-2.0,1,Stop Loss,125
MU,2023-06-06,2023-06-08,67.56562769594285,66.21431514202399,-2.0,1,Stop Loss,135
INTC,2023-06-06,2023-06-08,30.41015482791563,31.053051172299668,2.114084416939167,1,Trailing Stop,110
LRCX,2023-06-06,2023-06-12,59.61567192056868,60.83187062213242,2.040065409619457,3,Trailing Stop,100
NET,2023-06-08,2023-06-13,63.91999816894531,68.33600158691407,6.908641339908876,2,Trailing Stop,175
CRWD,2023-06-08,2023-06-12,153.52999877929688,150.45939880371094,-2.0,1,Stop Loss,140
SNOW,2023-06-08,2023-06-12,174.30999755859375,170.82379760742188,-2.0,1,Stop Loss,135
SNOW,2023-06-12,2023-06-14,173.02999877929688,179.67000122070314,3.8374862672661285,1,Trailing Stop,175
PATH,2023-06-12,2023-06-14,18.190000534057617,17.826200523376464,-2.0,1,Stop Loss,175
ENPH,2023-06-12,2023-06-14,179.99000549316406,176.39020538330078,-2.0,1,Stop Loss,125
AMD,2023-06-14,2023-06-16,125.38999938964844,122.16747640533448,-2.57,1,Stop Loss,120
CFLT,2023-06-15,2023-06-20,35.0,34.3,-2.0,1,Stop Loss,140
BILL,2023-06-15,2023-06-20,114.5199966430664,112.22959671020507,-2.0,1,Stop Loss,110
DDOG,2023-06-15,2023-06-20,98.62999725341797,96.6573973083496,-2.0,1,Stop Loss,100
MRVL,2023-06-20,2023-06-22,60.04506832413251,58.844166957649854,-2.0,1,Stop Loss,130
DDOG,2023-06-20,2023-06-22,96.31999969482422,94.39359970092774,-2.0,1,Stop Loss,125
BILL,2023-06-20,2023-06-22,111.23999786376953,109.01519790649414,-2.0,1,Stop Loss,125
CFLT,2023-06-21,2023-06-23,34.68000030517578,33.986400299072265,-2.0,1,Stop Loss,155
RUN,2023-06-21,2023-06-23,18.459999084472656,18.0907991027832,-2.0,1,Stop Loss,150
BA,2023-06-21,2023-06-28,205.61000061035156,210.8740020751953,2.5601874661823842,4,Trailing Stop,110
INTC,2023-06-22,2023-06-26,31.566584883973874,32.96213669656563,4.420978125195503,1,Trailing Stop,155
QCOM,2023-06-22,2023-06-26,107.97781779343715,110.64295399264654,2.468225653816993,1,Trailing Stop,145
SNOW,2023-06-22,2023-06-26,175.75,172.23499999999999,-2.0,1,Stop Loss,140
DXCM,2023-06-23,2023-06-27,126.0,123.48,-2.0,1,Stop Loss,90
CAT,2023-06-26,2023-06-29,227.40961937183533,234.59543563125357,3.159855893197187,2,Trailing Stop,105
AMAT,2023-06-26,2023-06-28,137.09326131162763,141.6085998549254,3.293625448908033,1,Trailing Stop,85
LRCX,2023-06-26,2023-06-28,60.8353064477352,62.858545083607375,3.325763859857235,1,Trailing Stop,85
TSLA,2023-06-27,2023-06-29,249.6999969482422,258.5319915771484,3.5370423455539375,1,Trailing Stop,165
NVDA,2023-06-27,2023-06-30,40.63044011815251,42.14133990183837,3.7186399637616487,2,Trailing Stop,135
ORCL,2023-06-27,2023-06-30,113.11942946555854,116.9553091201998,3.3909998244900716,2,Trailing Stop,135
UBER,2023-06-28,2023-06-30,44.09000015258789,43.168519149398804,-2.09,1,Stop Loss,90
ORCL,2023-06-29,2023-07-03,116.08351579658388,113.7618454806522,-2.0,1,Stop Loss,110
UBER,2023-06-30,2023-07-06,43.16999816894531,42.3065982055664,-2.0,2,Stop Loss,120
INTC,2023-06-30,2023-07-05,32.87001385382122,32.21261357674479,-2.0,1,Stop Loss,110
ABNB,2023-06-30,2023-07-05,129.27999877929688,132.21599731445315,2.27103849232589,1,Trailing Stop,95
PLTR,2023-07-07,2023-07-11,15.369999885559082,16.61800022125244,8.119715972580586,1,Trailing Stop,170
UBER,2023-07-07,2023-07-11,42.58000183105469,44.251998901367195,3.926719113227179,1,Trailing Stop,125
DDOG,2023-07-07,2023-07-11,97.6500015258789,104.39400177001953,6.906298145170379,1,Trailing Stop,110
NET,2023-07-10,2023-07-12,66.0999984741211,64.30868851547241,-2.71,1,Stop Loss,120
TSLA,2023-07-11,2023-07-13,276.3299865722656,270.8033868408203,-2.0,1,Stop Loss,135
CRWD,2023-07-13,2023-07-17,150.4499969482422,154.53799743652343,2.7171821676324743,1,Trailing Stop,115
LCID,2023-07-17,2023-07-19,70.4000015258789,75.63999786376954,7.443176454995413,1,Trailing Stop,175
MRVL,2023-07-17,2023-07-20,64.84479204393715,63.113436096364026,-2.67,2,Stop Loss,95
INTC,2023-07-17,2023-07-20,33.59523025960864,32.58737335182038,-3.0,2,Stop Loss,95
SHOP,2023-07-19,2023-07-21,67.2699966430664,65.92459671020508,-2.0,1,Stop Loss,95
ENPH,2023-07-19,2023-07-21,178.6199951171875,174.83325122070312,-2.12,1,Stop Loss,85
CRWD,2023-07-21,2023-07-26,150.97000122070312,154.15399780273438,2.109026002706703,2,Trailing Stop,130
ZS,2023-07-21,2023-07-25,149.24000549316406,154.94800109863283,3.8247087881072352,1,Trailing Stop,125
ENPH,2023-07-21,2023-07-26,178.97999572753906,175.40039581298828,-2.0,2,Stop Loss,125
NVDA,2023-07-24,2023-07-27,44.90832769720461,46.87010274455585,4.368399243406591,2,Trailing Stop,120
NET,2023-07-25,2023-07-27,65.87999725341797,64.5623973083496,-2.0,1,Stop Loss,165
CFLT,2023-07-25,2023-07-27,35.83000183105469,35.11340179443359,-2.0,1,Stop Loss,140
